,Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
32,Đường Trần Can, Phường An Khê, Quận Thanh Khê,6200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,85.0,5.0,17.0,3.0,4.0,Missing value,7.5,Missing value,Missing value,Missing value,Missing value
33,Đường Mỹ Đa Đông 3, Phường Mỹ An, Quận Ngũ Hành Sơn,8500000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,85.0,5.0,16.0,1.0,1.0,Missing value,10.0,Missing value,Missing value,Missing value,Missing value
34,22 Đường Phạm Ngọc Mậu, Phường An Khê, Quận Thanh Khê,7600000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,110.0,6.0,18.333333333333332,4.0,4.0,Missing value,10.0,Y,Y,Y,Y
35,Đường Lê Văn Long, Phường Thanh Bình, Quận Hải Châu,6200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,69.0,4.5,15.3,4.0,4.0,Missing value,5.5,Missing value,Missing value,Missing value,Missing value
36,Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê,11000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,85.0,6.47,16.46,3.0,4.0,Missing value,7.5,Missing value,Missing value,Missing value,Missing value
37,Đường Thăng Long, Phường Hòa Cường Nam, Quận Hải Châu,20000000000.0,Cần bán,"Biệt thự, nhà liền kề",Missing value,Sổ hồng/ Sổ đỏ,150.0,7.5,20.0,3.0,4.0,Đông Nam,15.0,Y,Y,Missing value,Y
38,Đường Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ,12000000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,157.0,5.1,31.0,2.7620345140781106,4.425570776255708,Đông,30.0,Missing value,Missing value,Missing value,Y
39,Đường Hoàng Tăng Bí, Phường Hòa An, Quận Cẩm Lệ,4150000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,110.0,5.0,22.0,2.7620345140781106,4.425570776255708,Tây,10.0,Missing value,Missing value,Missing value,Missing value
40,Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu,41000000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,158.0,6.9,22.0,1.0,3.0,Missing value,10.0,Missing value,Missing value,Missing value,Missing value
41,Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu,2050000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,67.0,5.0,13.5,1.0,5.0,Tây Nam,3.5,Missing value,Missing value,Missing value,Missing value
42,Đường Tân An 2, Phường Hòa Cường Bắc, Quận Hải Châu,6150000000.0,Cần bán,Nhà mặt tiền,Missing value,Giấy tờ hợp lệ,74.0,4.5,16.5,3.0,2.0,Bắc,5.5,Missing value,Missing value,Missing value,Missing value
43,Đường Dương Thưởng, Phường Hòa Cường, Quận Hải Châu,7900000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,93.0,4.8,19.0,2.0,3.0,Tây Nam,5.5,Missing value,Missing value,Missing value,Missing value
44,Đường Lý Tự Trọng, Phường Thanh Bình, Quận Hải Châu,9850000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,105.0,6.1715045871559635,17.01367932522068,6.0,11.0,Missing value,5.0,Y,Y,Y,Y
45,Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu,2600000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,108.0,5.0,21.8,2.7620345140781106,4.425570776255708,Bắc,3.0,Missing value,Missing value,Missing value,Missing value
46,Đường Trương Công Hy, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,6600000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,105.0,5.0,21.0,3.0,3.0,Missing value,7.5,Missing value,Missing value,Missing value,Missing value
47,Đường Lê Đình Thám, Phường Hòa Thuận Đông, Quận Hải Châu,8750000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,54.0,4.5,12.0,3.0,4.0,Missing value,10.0,Y,Y,Y,Y
48,Đường Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu,4500000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,100.0,5.0,20.0,5.0,5.0,Tây Nam,7.5,Y,Missing value,Y,Y
49,Đường Tùng Lâm 3, Phường Hòa Xuân, Quận Cẩm Lệ,2750000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,100.0,5.0,20.0,2.7620345140781106,4.425570776255708,Bắc,5.5,Missing value,Missing value,Missing value,Y
50,Đường Trần Thủ Độ, Phường Khuê Trung, Quận Cẩm Lệ,6800000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,108.0,5.0,21.6,2.7620345140781106,4.425570776255708,Đông Nam,10.0,Missing value,Missing value,Missing value,Missing value
51,Đường Vũng Thùng 3, Phường Nại Hiên Đông, Quận Sơn Trà,3700000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,100.0,5.0,20.0,2.7620345140781106,4.425570776255708,Tây Bắc,5.5,Missing value,Missing value,Missing value,Y
52,song hào Đường Song Hào, Phường Hòa Hải, Quận Ngũ Hành Sơn,26000000000.0,Cần bán,"Biệt thự, nhà liền kề",Missing value,Sổ hồng/ Sổ đỏ,500.0,6.1715045871559635,81.01752059628895,3.0,5.0,Missing value,33.0,Y,Y,Y,Y
53,Đường An Thượng 29, Phường Mỹ An, Quận Ngũ Hành Sơn,52000000000.0,Cần bán,"Nhà hàng, khách sạn",Missing value,Sổ hồng/ Sổ đỏ,162.0,9.0,18.0,12.0,45.0,Đông Nam,5.5,Y,Y,Y,Y
54,Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu,2050000000.0,Cần bán,"Đất nền, liền kề, đất dự án",Missing value,Missing value,100.0,5.0,20.0,2.7620345140781106,4.425570776255708,Đông Nam,5.5,Missing value,Missing value,Missing value,Missing value
55,Đường Khuê Mỹ Đông 15, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,11200000000.0,Cần bán,Nhà mặt tiền,Missing value,Missing value,102.0,6.0,17.0,4.0,7.0,Nam,7.5,Y,Y,Y,Y
56,Đường Bùi Hữu Nghĩa, Phường An Hải Bắc, Quận Sơn Trà,4950000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,60.0,6.1715045871559635,9.722102471554674,1.0,3.0,Tây,4.0,Missing value,Missing value,Missing value,Missing value
57,Đường Vạn Tường, Phường Hòa Hải, Quận Ngũ Hành Sơn,3700000000.0,Cần bán,Nhà mặt tiền,Missing value,Sổ hồng/ Sổ đỏ,116.0,7.5,15.5,5.0,5.0,Đông Nam,7.5,Missing value,Missing value,Missing value,Missing value
58,Đường Võ Nguyên Giáp, Phường Mỹ An, Quận Ngũ Hành Sơn,300000000.0,Cần bán,Căn hộ chung cư,Missing value,Sổ hồng/ Sổ đỏ,32.0,4.0,8.0,25.0,1.0,Missing value,33.0,Y,Y,Y,Y
59,Đường Đống Đa, Phường Thạch Thang, Quận Hải Châu,4800000000.0,Cần bán,Nhà trong hẻm,Missing value,Sổ hồng/ Sổ đỏ,68.0,6.0,12.3,3.0,3.0,Missing value,5.0,Y,Y,Y,Y
60,Đường Bùi Viện, Phường Hòa Cường Nam, Quận Hải Châu,6200000000.0,Cần bán,"Đất thổ cư, đất ở",Missing value,Sổ hồng/ Sổ đỏ,88.0,6.1715045871559635,14.259083624946856,2.7620345140781106,4.425570776255708,Đông Nam,5.5,Missing value,Missing value,Missing value,Missing value
