Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
Đường Hà Tông Quyền, Phường Khuê Trung, Quận Cẩm Lệ,8300000000,Cần bán,Nhà mặt tiền,,,125,5,25,3,5,,11,,,,
Đường Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ,12500000000,Cần bán,Nhà mặt tiền,,,115,5,23,3,6,,30,,,,
Đường Nam Sơn 2, Phường Hòa Cường Bắc, Quận Hải Châu,5100000000,Cần bán,Nhà mặt tiền,,,63,4.5,14,3,4,,5.5,,,,
Đường Lê Đình Thám, Phường Hòa Thuận Đông, Quận Hải Châu,9100000000,Cần bán,Nhà mặt tiền,,,54,4.5,12,2,3,,11,,,,
Đường An Cư 5, Phường Phước Mỹ, Quận Sơn Trà,7800000000,Cần bán,Nhà mặt tiền,,,85,5,17,3,4,,5.5,,,,
Đường Trương Công Hy, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,6700000000,Cần bán,Nhà mặt tiền,,,105,5,21,3,3,,8,,,,
Đường Hồ Nguyên Trừng, Phường Hòa Cường Nam, Quận Hải Châu,7400000000,Cần bán,Nhà mặt tiền,,,90,5,18,3,4,,5.5,,,,
Đường Bình An 6, Phường Hòa Cường Bắc, Quận Hải Châu,3300000000,Cần bán,Nhà mặt tiền,,,96,4,24,1,2,,3,,,,
Đường Đặng Huy Tá, Phường Hòa Minh, Quận Liên Chiểu,5700000000,Cần bán,Nhà mặt tiền,,,90,5,18,3,4,,5.5,,,,
Đường Hồ Tùng Mậu, Phường Hòa Minh, Quận Liên Chiểu,11000000000,Cần bán,Nhà mặt tiền,,,116,7.4,18,2,3,,11,,,,
Đường Hà Huy Giáp, Phường Khuê Trung, Quận Cẩm Lệ,5650000000,Cần bán,Nhà mặt tiền,,,90,4.5,20,2,3,,6,,,,
Đường Hồ Tùng Mậu, Phường Hòa Minh, Quận Liên Chiểu,5300000000,Cần bán,"Đất thổ cư, đất ở",,,81,4.5,18,,,,11,,,,
Đường Hàn Thuyên, Phường Hòa Cường Bắc, Quận Hải Châu,9800000000,Cần bán,Nhà mặt tiền,,,80,5,16,2,5,,7.5,,,,
Đường Bàu Năng 7, Phường Hòa Minh, Quận Liên Chiểu,5700000000,Cần bán,Nhà mặt tiền,,,80,5,16,3,4,,6,,,,
Đường Dương Bá Trạc, Phường Hòa Cường Nam, Quận Hải Châu,6000000000,Cần bán,Nhà mặt tiền,,,76,5,15.2,3,4,,7,,,,
Đường Lê Văn Thịnh, Phường Hòa Minh, Quận Liên Chiểu,5190000000,Cần bán,Nhà mặt tiền,,,75,5,15,3,4,,5.5,,,,
Đường Đỗ Đức Dục, Phường An Khê, Quận Thanh Khê,4000000000,Cần bán,Nhà mặt tiền,,,114,5.7,20,1,2,,5.5,,,,
Đường Phạm Văn Bạch, Phường Hòa Cường Nam, Quận Hải Châu,4800000000,Cần bán,Nhà mặt tiền,,,76,4,19,2,3,,5.5,,,,
Đường Lý Chính Thắng, Phường Hòa Minh, Quận Liên Chiểu,5700000000,Cần bán,Nhà mặt tiền,,,88,4.5,19.5,3,4,,7.5,,,,
Đường Bình Thái 1, Phường Hòa Thọ Đông, Quận Cẩm Lệ,7000000000,Cần bán,Nhà mặt tiền,,,234,9,26,2,4,,6,,,,
Đường Trần Tấn Mới, Phường Hòa Thuận Tây, Quận Hải Châu,5000000000,Cần bán,Nhà mặt tiền,,,83,4.5,18.5,2,4,,5.5,,,,
Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,4200000000,Cần bán,Nhà mặt tiền,,,108,6,8,2,3,,5.5,,,,
Đường Bình An 6, Phường Hòa Cường Bắc, Quận Hải Châu,6390000000,Cần bán,Nhà mặt tiền,,,72,6,12,3,4,,7.5,,,,
Đường Tố Hữu, Phường Hòa Cường Nam, Quận Hải Châu,9000000000,Cần bán,Nhà mặt tiền,,,86,4.5,19,2,3,,7.5,,,,
Đường Nguyễn Văn Linh, Phường Hòa Thuận Tây, Quận Hải Châu,10800000000,Cần bán,Nhà mặt tiền,,,90,5,18,5,13,,5.5,,,,
Đường Phước Hòa 4, Phường Khuê Trung, Quận Cẩm Lệ,4250000000,Cần bán,Nhà mặt tiền,,,86,6,14.25,2,3,,5.5,,,,
Đường Thanh Thủy, Phường Thanh Bình, Quận Hải Châu,12000000000,Cần bán,"Đất thổ cư, đất ở",,,120,10,12,,,,7.5,,,,
Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu,4700000000,Cần bán,Nhà trong hẻm,,,60,5,12,3,3,,3,,,,
Đường Phạm Cự Lượng, Phường An Hải Đông, Quận Sơn Trà,4300000000,Cần bán,Nhà mặt tiền,,,73,3.39,21.48,4,5,,4,,,,
Đường Phạm Phú Thứ, Phường Hải Châu I, Quận Hải Châu,16000000000,Cần bán,Nhà mặt tiền,,,60,4.5,13.3,3,5,,7,,,,
Đường Đặng Huy Tá, Phường Hòa Minh, Quận Liên Chiểu,4700000000,Cần bán,Nhà mặt tiền,,,90,5,17,2,4,,5.5,Y,Y,Y,Y
Đường Thành Thái, Phường Khuê Trung, Quận Cẩm Lệ,21500000000,Cần bán,Nhà mặt tiền,,,218,8.5,25.64,2,4,,11,,,,
Đường Tô Ngọc Vân, Phường Vĩnh Trung, Quận Thanh Khê,5000000000,Cần bán,Nhà mặt tiền,,,54,5,10.8,3,3,,4,,,,
Đường Chế Lan Viên, Phường Mỹ An, Quận Ngũ Hành Sơn,13500000000,Cần bán,Nhà mặt tiền,,,100,6,16.7,4,7,,7.5,,,,
Đường Lê Thị Hồng Gấm, Phường Hòa Cường Nam, Quận Hải Châu,9000000000,Cần bán,Nhà mặt tiền,,,83,5.75,14.5,3,4,,7.5,Y,Y,Y,Y
Đường Lê Hiến Mai, Phường Hòa Minh, Quận Liên Chiểu,3790000000,Cần bán,Nhà mặt tiền,,,110,5,22,2,3,,7.5,,,,
Đường Trần Xuân Lê, Phường Hòa Khê, Quận Thanh Khê,5200000000,Cần bán,Nhà mặt tiền,,,78,4.5,17.3,3,4,,5.5,,,,
Đường Dương Bá Trạc, Phường Hòa Cường Nam, Quận Hải Châu,5200000000,Cần bán,Nhà mặt tiền,,,76,5,15.2,2,3,,5.5,,,,
Đường Phùng Hưng, Phường Hòa Minh, Quận Liên Chiểu,7000000000,Cần bán,Nhà mặt tiền,,,128,5,25.5,2,3,,11,,,,
Đường Trần Quang Diệu, Phường An Hải Tây, Quận Sơn Trà,26000000000,Cần bán,Nhà mặt tiền,,,120,6,20,4,6,,10,,,,
Đường Tú Mỡ, Phường Hòa Minh, Quận Liên Chiểu,7000000000,Cần bán,Nhà mặt tiền,,,120,5,24,3,12,,11,,,,
Đường An Thượng 17, Phường Mỹ An, Quận Ngũ Hành Sơn,8500000000,Cần bán,Nhà mặt tiền,,,60,4,15,4,5,,5.5,,,,
Đường Ba ĐÌnh, Phường Thạch Thang, Quận Hải Châu,4400000000,Cần bán,Nhà trong hẻm,,,64,5,12,3,4,,4,,,,
Đường Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê,3900000000,Cần bán,"Đất thổ cư, đất ở",,,88,6.8,13,,,,5,,,,
Đường Nguyễn Phước Nguyên, Phường Hòa Khê, Quận Thanh Khê,3200000000,Cần bán,Nhà mặt tiền,,,72,6,12,1,2,,6,,,,
Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê,7200000000,Cần bán,Nhà mặt tiền,,,63,4.07,15.5,2,3,,7.5,,,,
Đường Mạc Thị bưởi, Phường Hòa Cường Nam, Quận Hải Châu,7200000000,Cần bán,"Phòng trọ, nhà trọ",,,85,4.5,19,4,6,,5.5,Y,Y,Y,Y
Đường Đào Duy Từ, Phường Tân Chính, Quận Thanh Khê,5300000000,Cần bán,Nhà trong hẻm,,,54,5.2,10.3,3,4,,4,Y,Y,Y,Y
Đường Đặng Dung, Phường Hòa Khánh Bắc, Quận Liên Chiểu,8000000000,Cần bán,Nhà mặt tiền,,,100,5,20,2,3,,6,,,,
Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê,13500000000,Cần bán,Nhà mặt tiền,,,116,5.24,22,3,3,,11,,,,
Đường Hồ Huân Nghiệp, Phường Mỹ An, Quận Ngũ Hành Sơn,9500000000,Cần bán,Nhà mặt tiền,,,140,7,20,3,5,,6,,,,
Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu,7000000000,Cần bán,Nhà trong hẻm,,,67,4.2,15.9,4,8,,5,,,,
Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê,9500000000,Cần bán,Nhà mặt tiền,,,60,4,15,4,4,,11,Y,Y,Y,Y
Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu,5900000000,Cần bán,"Đất thổ cư, đất ở",,,103,5,20.6,,,,10,,,,
Đường Tống Phước Phổ, Phường Hòa Cường Bắc, Quận Hải Châu,8500000000,Cần bán,Nhà mặt tiền,,,83,5,16.5,3,4,,6,,,,
Đường Hoàng Dư Khương, Phường Khuê Trung, Quận Cẩm Lệ,6000000000,Cần bán,Nhà mặt tiền,,,125,5,25,1,4,,7.5,Y,Y,Y,Y
Đường Hoàng Dư Khương, Phường Khuê Trung, Quận Cẩm Lệ,6500000000,Cần bán,Nhà mặt tiền,,,84,5,16.8,3,4,,7.5,,,,
Đường Đinh Tiên Hoàng, Phường Tam Thuận, Quận Thanh Khê,8100000000,Cần bán,Nhà mặt tiền,,,63,4.8,12,5,4,,7.5,,,,
Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu,4700000000,Cần bán,Nhà trong hẻm,,,60,5,12,3,4,,3,,,,
Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu,4800000000,Cần bán,Nhà mặt tiền,,,73,6,12,3,3,,4,,,,
Đường Hoàng Minh Thảo, Phường Hòa Khánh Nam, Quận Liên Chiểu,4850000000,Cần bán,Nhà mặt tiền,,,125,5,125,2,3,,11,,,,
Đường Hoàng Thúc Trâm, Phường Hòa Cường Bắc, Quận Hải Châu,7500000000,Cần bán,Nhà mặt tiền,,,90,5,18,3,5,,7.5,,,,
Đường Thanh Long, Phường Thanh Bình, Quận Hải Châu,6600000000,Cần bán,Nhà mặt tiền,,,116,7.5,7.5,3,3,,5.5,,,,
Đường Thanh Long, Phường Thanh Bình, Quận Hải Châu,9500000000,Cần bán,Nhà mặt tiền,,,70,4.56,15.2,4,4,,5.5,,,,
Đường 3/2, Phường Thanh Bình, Quận Hải Châu,16000000000,Cần bán,"Đất thổ cư, đất ở",,,125,5,22,,,,15,,,,
Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu,4800000000,Cần bán,Nhà mặt tiền,,,66,6,11,2,3,,5,,,,
Đường Dương Bích Liên, Phường Hòa Minh, Quận Liên Chiểu,4395000000,Cần bán,Nhà mặt tiền,,,70,5,14,2,3,,5.5,,,,
Đường Âu Cơ, Phường Hòa Khánh Bắc, Quận Liên Chiểu,5000000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,132,5.5,24,1,7,Đông Bắc,7.5,,,,
Đường Đỗ Đức Dục, Phường An Khê, Quận Thanh Khê,3800000000,Cần bán,Nhà mặt tiền,,,115,5.8,20,1,2,,5.5,,,,
Đường Phước Lý 4, Phường Hòa Minh, Quận Liên Chiểu,2950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,110,5,22,1,2,Đông Bắc,5.5,,,,
Đường Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà,8000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,80,5,16,,,Nam,5.5,,,,
Đường Trương Quốc Dụng, Phường Nại Hiên Đông, Quận Sơn Trà,4950000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,122,5,24,,,Tây Bắc,7.5,,,,
Đường Sử Hy Nhan, Phường Hòa Khánh Bắc, Quận Liên Chiểu,2750000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,140,7,20,,,Đông Nam,5.5,,,,
Đường Phú Lộc 8, Phường Hòa Minh, Quận Liên Chiểu,3700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,1,2,Tây,5.5,,,,
Đường Lương Trúc Đàm, Phường Hòa Minh, Quận Liên Chiểu,4800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,110,5,22,,,Đông Nam,105,,,,
Đường Phan Phú Tiên, Phường Thanh Khê Tây, Quận Thanh Khê,3850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,58,4.5,13,2,3,Đông Bắc,5.5,,,,
Đường Phạm Hùng, Xã Hòa Phước, Huyện Hòa Vang,7100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,107,5,21.5,2,3,Đông,15,,,,
Đường An Nhơn 8, Phường An Hải Bắc, Quận Sơn Trà,4500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,56,4,14,1,3,Tây Nam,375,,,,
Đường Phú Lộc 21, Phường Hòa Minh, Quận Liên Chiểu,4100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,81,4.5,18,2,2,Tây Bắc,5.5,,,,
Đường Nguyễn Quang Bích, Phường Hòa Cường, Quận Hải Châu,6300000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,92,5,18.5,1,4,Đông,5.5,,,,
Đường Hòa Minh 4, Phường Hòa Minh, Quận Liên Chiểu,3550000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,80,5,16,,,Nam,5.5,,,,
Đường Nguyễn Hàng, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3150000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,75,5,15,,,Tây Bắc,5.5,,,,
Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà,9500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,123,4.95,25,,,Đông Nam,30,,,,
Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,6900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,145,5,28,,,Tây Nam,7.5,,,,
Đường Nguyễn Minh Không, Phường Hòa Minh, Quận Liên Chiểu,2950000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,5,18,,,Đông,5.5,,,,
Đường Bình Hòa 1, Phường Khuê Trung, Quận Cẩm Lệ,3300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,58,5.1,11.2,1,2,Đông Bắc,375,,,,
Đường Kiều Sơn Đen, Phường Hòa Xuân, Quận Cẩm Lệ,3050000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Nam,7.5,,,,
Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3380000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,173,5,31.6,1,8,Tây Nam,3,,,,
Đường Bùi Tấn Diên, Phường Hòa Minh, Quận Liên Chiểu,3750000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,105,5,21,,,Đông Nam,105,,,,
Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê,11000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,88,4.5,19.4,2,3,Đông Nam,5.5,,,,
Đường Phú Lộc 19, Phường Thanh Khê Tây, Quận Thanh Khê,9500000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,159,8,20,4,25,Tây Nam,5.5,,,,
Đường Lộc Ninh, Phường Hòa Hải, Quận Ngũ Hành Sơn,3300000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,108,5,21,1,5,Tây Nam,7.5,,,,
Đường Bùi Huy Bích, Phường Nại Hiên Đông, Quận Sơn Trà,5700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,5,18,3,7,Đông Nam,5.5,,,,
Đường Vũ Lập, Phường Hòa Khánh Nam, Quận Liên Chiểu,3850000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,125,5,25,,,Đông Nam,105,,,,
Đường Nguyễn Sơn, Phường Hòa Cường Nam, Quận Hải Châu,6900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Nam,7.5,,,,
Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà,4900000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,97,4.6,21,1,2,Đông Nam,6,,,,
Đường Kinh Dương Vương, Phường Hòa Minh, Quận Liên Chiểu,6500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,106,4.5,24,,,Tây Nam,15,,,,
Đường Kinh Dương Vương, Phường Hòa Minh, Quận Liên Chiểu,6300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,4.5,20,,,Đông Bắc,15,,,,
Đường Bùi Công Trừng, Phường Hòa Xuân, Quận Cẩm Lệ,4850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,2,3,Đông Bắc,7.5,,,,
Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu,3730000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,67,4,17,2,2,Tây Nam,3.5,Y,Y,,Y
Đường Đặng Huy Tá, Phường Hòa Minh, Quận Liên Chiểu,5490000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,5,18,3,4,Tây Nam,5.5,Y,Y,,Y
Đường Bàu Mạc 6, Phường Hòa Khánh Bắc, Quận Liên Chiểu,3300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,107,5,21.5,,,Đông Nam,5.5,,,,
Đường Kinh Dương Vương, Phường Hòa Minh, Quận Liên Chiểu,7100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,5,17,2,,Đông Bắc,15,,,,Y
Đường Bàu Năng 7, Phường Hòa Minh, Quận Liên Chiểu,5490000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,5,17,4,4,Đông,5.5,,,,
Đường Phú Lộc 15, Phường Hòa Minh, Quận Liên Chiểu,3900000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,17,2,3,Đông Bắc,5.5,,,,
Đường  Lê Văn Sĩ, Phường Hòa Minh, Quận Liên Chiểu,3200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,70,5,14,,,Đông Bắc,5.5,,,,
Đường Phùng Chí Kiên, Phường Hòa Minh, Quận Liên Chiểu,4400000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,3,4,Đông Nam,5.5,Y,Y,,Y
Đường Nguyễn Đăng Giai, Phường Thọ Quang, Quận Sơn Trà,7000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,5,18,2,3,Tây Bắc,105,,,,
Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu,3900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,86,5,17,,,Tây Nam,5.5,,,,
Đường Đặng Huy Tá, Phường Hòa Minh, Quận Liên Chiểu,4050000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Đông Bắc,5.5,,,,
Đường Mạc Thị bưởi, Phường Hòa Cường Nam, Quận Hải Châu,7200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,200,4.5,19,4,6,Đông,5.5,,,,
Đường Nguyễn Minh Không, Phường Hòa Minh, Quận Liên Chiểu,3550000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,132,5,26,1,6,Đông Nam,5.5,,,,
Đường Nguyễn Huy Tự, Phường Hòa Minh, Quận Liên Chiểu,3850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,70,4.5,16,2,3,Tây Nam,5.5,,,,
Đường Hoàng Đạo Thúy, Phường Hòa Thọ Đông, Quận Cẩm Lệ,5400000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,150,5,30,,,Nam,5.5,,,,
Đường Kinh Dương Vương, Phường Hòa Minh, Quận Liên Chiểu,7350000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,4.5,22,1,2,Tây Nam,15,,,,
Đường Nguyễn Huy Tự, Phường Hòa Minh, Quận Liên Chiểu,3250000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,76,4.5,17,,,Đông Nam,5.5,,,,
Đường Đá Mọc 5, Phường Hòa Minh, Quận Liên Chiểu,5300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,200,10,20,1,1,Tây Bắc,5.5,,,,Y
Đường Yên Khê 2, Phường Thanh Khê Tây, Quận Thanh Khê,5800000000,Cần bán,Nhà mặt tiền,,,80,4.5,17,3,5,Tây Nam,5.5,Y,Y,,Y
Đường Bàu Năng 10, Phường Hòa Minh, Quận Liên Chiểu,3700000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,85,5,17,,,Tây Bắc,5.5,,,,
Đường Ngô Chi Lan, Phường Thuận Phước, Quận Hải Châu,7700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,95,5.97,21,1,4,Tây,5.5,,,,
Đường Đào Nguyên Phổ, Phường Hòa Minh, Quận Liên Chiểu,5500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,3,4,Tây Nam,5.5,Y,Y,,Y
Đường Nguyễn Phong Sắc, Phường Khuê Trung, Quận Cẩm Lệ,7100000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,5,18,1,1,Đông,7.5,,,,
Đường Hòa An, Phường Hòa An, Quận Cẩm Lệ,5500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,63,4.5,15,2,3,Đông Nam,5.5,,,,
Đường Kinh Dương Vương, Phường Hòa Minh, Quận Liên Chiểu,7500000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,4.5,20,3,,Tây,15,,,,
Đường Ngô Mây, Phường Hòa Xuân, Quận Cẩm Lệ,3290000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,120,5,24,,,Đông,5.5,,,,
Đường Nguyễn Đăng, Phường An Khê, Quận Thanh Khê,3800000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,86,4,21,2,3,Đông Nam,4,,,,
Đường Nguyễn Huy Tự, Phường Hòa Minh, Quận Liên Chiểu,3850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,70,4.5,16,2,3,Tây Nam,5.5,,,,
Đường Khúc Hạo, Phường Nại Hiên Đông, Quận Sơn Trà,13200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,196,10,20,,,Tây Nam,105,,,,
Đường Khúc Hạo, Phường Nại Hiên Đông, Quận Sơn Trà,6600000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,98,5,19,,,Tây Nam,105,,,,
Đường Đặng Minh Khiêm, Phường Hòa Minh, Quận Liên Chiểu,4200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,82,5,16.5,2,3,Tây Bắc,5.5,,,,
Đường Lê Duy Lương, Phường Hòa Phát, Quận Cẩm Lệ,3850000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,106,5,21.2,,,Tây Bắc,7.5,,,,
Đường Nguyễn Thị Thập, Phường Hòa Minh, Quận Liên Chiểu,5500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,3,6,Đông Bắc,7.5,,,,
Đường Tú Quỳ, Phường Hòa Minh, Quận Liên Chiểu,3600000000,Cần bán,"Phòng trọ, nhà trọ",,Sổ hồng/ Sổ đỏ,100,5,20,1,5,Đông Bắc,7.5,,,,
Đường Trần Thánh Tông, Phường Nại Hiên Đông, Quận Sơn Trà,6100000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Đông Nam,30,,,,
Đường Bàu Năng 10, Phường Hòa Minh, Quận Liên Chiểu,4800000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,5,17,3,4,Tây Bắc,5.5,,,,
Đường Phú Lộc 20, Phường Hòa Minh, Quận Liên Chiểu,4000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,85,4.5,19,2,2,Tây Bắc,5.5,Y,Y,,Y
Đường Đoàn Trần Nghiệp, Phường Hòa Khánh Bắc, Quận Liên Chiểu,6000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,97,5,19,3,3,Đông Nam,6,,,,
Đường Lương Khánh Thiện, Phường Hòa Minh, Quận Liên Chiểu,3050000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,70,5,15,,,Đông Nam,5.5,,,,
Đường Nguyễn Xí, Phường Hòa Minh, Quận Liên Chiểu,6700000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,3,3,Tây Nam,7.5,Y,Y,,Y
Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê,4400000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,66,5,13.2,3,3,Bắc,4,,,,
Đường Nguyễn Đỗ Cung, Phường Hòa Minh, Quận Liên Chiểu,3850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,83,5,16.5,3,3,Bắc,5.5,,,,
Đường Triệu Quốc Đạt, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3750000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,2,2,Tây Nam,5.5,,,,
Đường Kiều Sơn Đen, Phường Hòa Xuân, Quận Cẩm Lệ,2960000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,112,5,22,,,Nam,5.5,,,,
Đường Bình Thái 3, Phường Hòa Thọ Đông, Quận Cẩm Lệ,3420000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,83,3.6,24,2,2,Tây Nam,5.5,Y,Y,,Y
Đường Nguyễn Chích, Phường Hòa Minh, Quận Liên Chiểu,3400000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,75,5,15,,,Tây Nam,5.5,,,,
Đường Nguyễn Công Hoan, Phường Hòa An, Quận Cẩm Lệ,3850000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,1,2,Tây,7.5,,,,
Đường Hóa Sơn 1, Phường Hòa Cường Nam, Quận Hải Châu,4500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,56,5,14,3,3,Tây Nam,3.7,,,,
