Route,Ward,District,Price,Type Of New,Type Of Estate,Owned,Legal,Square,Width,Length,Floors,Bedrooms,Direction,Road,DinningRoom,Kitchen,Terrace,Garage
Trung Lương 10, Phường Hòa Xuân, Quận Cẩm Lệ,9100000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,200,10,20,,,Tây Bắc,7.5,,,,
Đường Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà,8000000000,Cần bán,"Đất thổ cư, đất ở",,,80,5,16,,,,5.5,,,,
Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu,4500000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,97,,,2,2,Nam,4,,,,
Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà,11000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,124,,,,,Đông Nam,30,,,,
Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà,10400000000,Cần bán,Nhà mặt tiền,,,82,5.1,,4,7,Tây Nam,5.5,Y,Y,Y,Y
Đường Tân Thái, Phường Mân Thái, Quận Sơn Trà,4400000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,75,5,15,2,3,,4,Y,Y,,Y
Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu,13500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,87,4.5,19.4,4,7,Đông,105,,,,
Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu,17000000000,Cần bán,Nhà mặt tiền,,,93,4,23,2,3,,10,,,,
Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu,2170000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,72,5,,2,3,Tây Bắc,4,Y,Y,Y,Y
Đường Bùi Huy Bích, Phường An Hải Đông, Quận Sơn Trà,6000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,149,8.3,18,,,,5.5,,,,
Đường Trần Đức Thông, Phường Phước Mỹ, Quận Sơn Trà,6600000000,Cần bán,"Đất thổ cư, đất ở",,Giấy tờ hợp lệ,80,5,16,,,Đông Bắc,5.5,,,,
Đường Hồ Sĩ Tân, Phường Nại Hiên Đông, Quận Sơn Trà,4300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,80,5,16,,3,Tây Bắc,7.5,Y,Y,,Y
Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu,4500000000,Cần bán,Nhà trong hẻm,,Sổ hồng/ Sổ đỏ,85,5,17,1,2,Đông,6,Y,Y,,Y
Đường Hoàng Bích Sơn, Phường An Hải Bắc, Quận Sơn Trà,7300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,70,4.5,15.5,,,Đông,7.5,,,,
Đường Hải Phòng, Phường Chính Gián, Quận Thanh Khê,16000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,120,4.9,17.5,7,18,Tây Nam,12,Y,Y,Y,Y
Đường Ngô Thì Hương, Phường Nại Hiên Đông, Quận Sơn Trà,6000000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,145,7.5,20,,,Nam,7.5,,,,
Đường Nguyễn Mậu Tài, Phường Hòa Xuân, Quận Cẩm Lệ,11600000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,200,10,20,,,Đông Bắc,7.5,,,,
Đường Kỳ Đồng, Phường Xuân Hà, Quận Thanh Khê,8500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,2,2,Nam,7.5,Y,Y,Y,Y
Đường Tân Phú 2, Phường Mân Thái, Quận Sơn Trà,4900000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,80,5,16,,,Tây Bắc,5.5,,,,
Đường Lê Quang Sung, Phường Chính Gián, Quận Thanh Khê,5950000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,58,4,15,3,4,Bắc,7.5,Y,Y,Y,Y
Đường Trương Quốc Dụng, Phường Nại Hiên Đông, Quận Sơn Trà,4950000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,122,5,24.5,,,Tây Bắc,7.5,,,,Y
Đường Nguyễn Phong Sắc, Phường Khuê Trung, Quận Cẩm Lệ,7500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,1,1,Đông,7.5,Y,Y,Y,Y
Đường Trần Thủ Độ, Phường Khuê Trung, Quận Cẩm Lệ,6500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,100,5,20,2,4,Tây Bắc,10,Y,Y,Y,Y
Đường Lê Văn Hiến, Phường Hòa Hải, Quận Ngũ Hành Sơn,9100000000,Cần bán,Nhà mặt tiền,,,112,5,23,3,3,,30,,,,
Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ,23500000000,Cần bán,"Đất nền, liền kề, đất dự án",,Sổ hồng/ Sổ đỏ,200,10,20,,,Tây Nam,7.5,,,,
Đường K20, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,4850000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Tây Bắc,10,,,,
Đường Bế Văn Đàn, Phường Chính Gián, Quận Thanh Khê,8000000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,75,5,15,5,7,Bắc,5.5,Y,Y,Y,Y
Đường Nại Hiên Đông 9, Phường Nại Hiên Đông, Quận Sơn Trà,3750000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,72,4,18,2,3,Tây Nam,5.5,,,,
Đường Võ An Ninh, Phường Hòa Xuân, Quận Cẩm Lệ,5700000000,Cần bán,"Đất thổ cư, đất ở",,Giấy tờ hợp lệ,100,5,20,,,Tây Bắc,10,,,,
Đường Mỹ An 12, Phường Mỹ An, Quận Ngũ Hành Sơn,5870000000,Cần bán,Nhà mặt tiền,,,100,5,20,2,3,,5.5,,,,
Đường Liêm Lạc 6, Phường Hòa Xuân, Quận Cẩm Lệ,2820000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,,,Nam,5.5,,,,
Đường Trương Công Hy, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,6600000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,105,5,21,3,3,Tây Nam,7.5,,,,
Đường Hồ Huân Nghiệp, Phường Mỹ An, Quận Ngũ Hành Sơn,5300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,90,5,18,1,2,,5.5,,,,
Đường Dương Đình Nghệ, Phường Phước Mỹ, Quận Sơn Trà,60000000000,Cần bán,"Nhà hàng, khách sạn",,,180,9,20,10,48,,7.5,,,,
Đường Tố Hữu, Phường Hòa Cường Bắc, Quận Hải Châu,8800000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,100,5,20,3,3,Bắc,7.5,,,,
Đường Mai Chí Thọ, Phường Hòa Xuân, Quận Cẩm Lệ,12300000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,165,8.25,20,,,Đông Nam,10,,,,
Đường Đô Đốc Tuyết, Phường Hòa Xuân, Quận Cẩm Lệ,9500000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,169,8.6,20,2,3,Đông Bắc,7.5,,,,Y
Đường Thanh Sơn, Phường Thanh Bình, Quận Hải Châu,10000000000,Cần bán,Nhà mặt tiền,,,90,4.5,20,3,3,,7.5,,,,
Đường Nguyễn Khắc Cần, Phường Nại Hiên Đông, Quận Sơn Trà,6300000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,125,5,25,1,2,Đông Bắc,7.5,,,,
Đường Lý Văn Phức, Phường Hòa Hải, Quận Ngũ Hành Sơn,3200000000,Cần bán,"Đất thổ cư, đất ở",,Sổ hồng/ Sổ đỏ,90,5,18,,,Đông Nam,7.5,,,,
Đường Hải Phòng, Phường Chính Gián, Quận Thanh Khê,16000000000,Cần bán,Nhà mặt tiền,,,120,4.9,17.5,7,18,,15,,,,
Đường Nguyễn Xuân Nhĩ, Phường Hòa Cường Nam, Quận Hải Châu,4200000000,Cần bán,Nhà mặt tiền,,,56,4,14,,3,,7.5,,,,
Đường Kỳ Đồng, Phường Xuân Hà, Quận Thanh Khê,8700000000,Cần bán,Nhà mặt tiền,,,100,5,20,2,3,,7.5,,,,
Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,4200000000,Cần bán,Nhà mặt tiền,,Sổ hồng/ Sổ đỏ,80,4,20,1,1,Đông,4,Y,Y,Y,Y
